[2026-04-15 15:33:50.972] [FAILED] JobId: f70afab4-5f05-4bc9-977d-9d592394447f, Type: Prime, Reason: Invalid 'numbers' parameter, Attempts: 1
[2026-04-15 15:33:50.972] [FAILED] JobId: 6db0e1c7-94bc-44db-a428-9042e9a43285, Type: IO, Reason: Invalid 'delay' parameter, Attempts: 1
[2026-04-15 15:33:50.972] [FAILED] JobId: 9bc35410-2ac5-4981-9e37-94f3561a61ca, Type: IO, Reason: Invalid 'delay' parameter, Attempts: 1
[2026-04-15 15:33:50.972] [FAILED] JobId: f67de13e-d8c6-49ed-a9a5-6d7bccb996dc, Type: IO, Reason: Invalid 'delay' parameter, Attempts: 1
[2026-04-15 15:33:50.972] [FAILED] JobId: 7e32c80c-9fe6-4c4a-9b81-e36a5239cef3, Type: Prime, Reason: Invalid 'numbers' parameter, Attempts: 1
[2026-04-15 15:33:51.876] [COMPLETED] JobId: 12a253e7-1bd4-429f-b5db-ca1519992965, Type: Prime, Result: 4175
[2026-04-15 15:33:52.999] [COMPLETED] JobId: 45045fda-a464-4a94-8430-d848cb2f1c00, Type: Prime, Result: 1183
[2026-04-15 15:33:53.548] [COMPLETED] JobId: 6cae46f8-63e0-409d-a9b9-fdc8a6391eb4, Type: Prime, Result: 5090
[2026-04-15 15:33:53.722] [COMPLETED] JobId: 07a7fb1d-8ce0-467b-9f88-ddab236d9bee, Type: IO, Result: 18
[2026-04-15 15:33:54.313] [COMPLETED] JobId: 92e01029-a0b3-4061-bd60-9eaa1a76f710, Type: IO, Result: 2
[2026-04-15 15:33:55.023] [COMPLETED] JobId: d867a382-ed88-47c2-b1ea-115ecc380592, Type: Prime, Result: 3890
[2026-04-15 15:33:55.339] [COMPLETED] JobId: ee62bc81-dd0c-4ff4-99d8-a03b88c746f9, Type: Prime, Result: 2864
[2026-04-15 15:33:56.946] [COMPLETED] JobId: 9ab24497-8497-4904-a74f-2f07f7b83001, Type: Prime, Result: 2487
[2026-04-15 15:33:58.282] [COMPLETED] JobId: 8e7f15ac-c683-4a3e-8180-9b60929c0998, Type: IO, Result: 75
[2026-04-15 15:33:59.363] [COMPLETED] JobId: 78b56ee5-6c7d-4e35-a650-dd651a8f7a9e, Type: IO, Result: 96
[2026-04-15 15:34:00.189] [COMPLETED] JobId: 8e878f38-9b28-42d1-89f8-7fd3b5b91644, Type: IO, Result: 35
[2026-04-15 15:34:00.957] [COMPLETED] JobId: d432193c-8e13-46ec-8bc9-d695bca3004b, Type: IO, Result: 7
[2026-04-15 15:34:01.259] [COMPLETED] JobId: f96f0440-73b8-41a9-93d2-3a19686c807a, Type: IO, Result: 52
[2026-04-15 15:34:01.740] [COMPLETED] JobId: f034821b-8498-4e92-a6e6-58278e877617, Type: IO, Result: 81
[2026-04-15 15:34:01.779] [COMPLETED] JobId: dee256c5-4c69-44e3-a073-3165ba12c254, Type: IO, Result: 37
[2026-04-15 15:34:02.222] [COMPLETED] JobId: b91df2e0-a66d-415d-bcba-63301b68ef6c, Type: Prime, Result: 2105
[2026-04-15 15:34:02.738] [COMPLETED] JobId: 2a617b05-cf23-4d0e-b99e-c1809c116745, Type: IO, Result: 19
[2026-04-15 15:34:03.557] [COMPLETED] JobId: 2f6acb94-fee7-4485-a5d1-f194c9bcb6d5, Type: IO, Result: 29
[2026-04-15 15:34:04.507] [COMPLETED] JobId: 1c45b2e0-8272-4da7-9eb3-503f3563220d, Type: IO, Result: 65
[2026-04-15 15:34:04.710] [COMPLETED] JobId: 7ca8e8f0-9d44-4aa9-aa44-67ac4a535be2, Type: IO, Result: 99
[2026-04-15 15:34:05.381] [COMPLETED] JobId: a6d4f83c-ad11-40a0-806a-b5ee12bbfa77, Type: Prime, Result: 4268
[2026-04-15 15:34:05.934] [COMPLETED] JobId: f7d908db-7f62-4e24-bdf3-221daf1a343c, Type: IO, Result: 76
[2026-04-15 15:34:06.161] [COMPLETED] JobId: 86addd25-800c-40ee-a5b6-d4710778d63f, Type: IO, Result: 15
[2026-04-15 15:34:06.565] [COMPLETED] JobId: c3055d94-b260-4bab-a762-4699bcf8ec79, Type: Prime, Result: 2610
[2026-04-15 15:34:06.719] [COMPLETED] JobId: affe0c6f-bd97-4bc3-b359-cc79dda4c932, Type: Prime, Result: 4922
[2026-04-15 15:34:07.995] [COMPLETED] JobId: da5146b6-f4ac-456f-801f-8d625b717595, Type: Prime, Result: 4626
[2026-04-15 15:34:08.674] [COMPLETED] JobId: 1ccefe4f-39c7-4d02-9dd4-6e3250d83d07, Type: Prime, Result: 910
[2026-04-15 15:34:09.498] [COMPLETED] JobId: a9f4ac66-86c0-4d21-a52b-e1b79e8e1f4c, Type: Prime, Result: 3221
